gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,act,at,ceq,cogs,csho,dt,dvp,dvt,ebit,ebitda,ib,invt,lct,lt,ni,oancf,optdr,revt,sale,seq,tie,costat,prcc_c
001410,20211031,2021,INDL,C,D,STD,ABM,USD,1401.1000,4436.2000,1609.2000,5213.2000,67.3020,1035.0000,0.0000,51.0000,406.4000,496.3000,126.3000,0.0000,1285.8000,2827.0000,126.3000,314.3000,,6228.6000,6228.6000,1609.2000,,A,40.8500
001414,20211231,2021,INDL,C,D,STD,PRI,USD,,16123.2230,2082.5120,2039.9680,39.3680,2025.6530,0.0000,74.6370,639.6640,669.7640,373.3570,24.3550,,14033.4400,373.3570,656.9560,,2709.7320,2709.7320,2082.5120,,A,153.2700
001439,20211231,2021,INDL,C,D,STD,ECOL,USD,364.2180,1805.3980,624.3240,644.1470,31.2700,799.8370,0.0000,0.0000,36.9020,147.6780,5.3370,0.0000,186.9340,1181.0740,5.3370,116.3190,0.5000,988.0010,988.0010,624.3240,,A,31.9400
001440,20211231,2021,INDL,C,D,STD,AEP,USD,7809.2000,87668.7000,22433.2000,10594.0000,504.2120,,0.0000,1507.7000,3372.3000,6198.0000,2488.1000,989.2000,12426.7000,64945.2000,2488.1000,3839.9000,,16792.0000,16792.0000,22476.5000,,A,88.9700
001447,20211231,2021,INDL,C,D,STD,AXP,USD,,188548.0000,22177.0000,31847.0000,761.0000,39796.0000,71.0000,1430.0000,10121.0000,11816.0000,8060.0000,0.0000,,166371.0000,8060.0000,14645.0000,1.5000,43663.0000,43663.0000,22177.0000,,A,163.6000
001449,20211231,2021,INDL,C,D,STD,AFL,USD,,157542.0000,33253.0000,16433.0000,652.1320,7956.0000,0.0000,928.0000,4565.0000,4604.0000,4325.0000,0.0000,,124289.0000,4325.0000,5051.0000,,21037.0000,21037.0000,33253.0000,,A,58.3900
001487,20211231,2021,INDL,C,D,STD,AIG,USD,,596112.0000,65471.0000,36091.0000,818.6870,31353.0000,29.0000,1112.0000,11322.0000,15955.0000,9388.0000,0.0000,,527200.0000,9388.0000,6279.0000,2.8900,52046.0000,52046.0000,65956.0000,,A,56.8600
001526,20211231,2021,INDL,C,D,STD,ANAT,USD,,31320.3210,6994.3680,3457.3150,26.8870,149.2480,0.0000,88.1900,695.8160,745.7990,699.3250,0.0000,,24318.2620,699.3250,350.7870,,4203.1140,4203.1140,6994.3680,,A,188.8400
001562,20210430,2020,INDL,C,D,STD,AMSWA,USD,136.6230,177.1570,122.3910,45.0300,32.8630,1.5600,0.0000,14.3630,4.3610,9.9710,8.0890,0.0000,50.6640,54.7660,8.0890,17.7560,2.7000,111.4080,111.4080,122.3910,,A,17.1700
001585,20211231,2021,INDL,C,D,STD,AVD,USD,342.0000,694.1600,372.7380,321.4000,30.8870,78.0790,0.0000,2.3840,33.6840,55.9130,18.5870,154.3060,223.0610,321.4220,18.5870,86.3610,,556.8720,556.8720,372.7380,,A,16.3900
001598,20211231,2021,INDL,C,D,STD,AME,USD,2128.7650,11898.1870,6871.8840,3341.7880,231.6620,2405.6020,0.0000,184.5950,1308.6700,1600.7820,990.0530,769.1750,1563.3140,5026.3030,990.0530,1160.4570,0.6600,5546.5140,5546.5140,6871.8840,,A,147.0400
001602,20211231,2021,INDL,C,D,STD,AMGN,USD,19385.0000,61165.0000,6700.0000,3210.0000,558.3000,33979.0000,0.0000,4098.0000,9274.0000,12518.0000,5893.0000,4086.0000,12184.0000,54465.0000,5893.0000,9261.0000,2.9000,25979.0000,25979.0000,6700.0000,,A,224.9700
001632,20211031,2021,INDL,C,D,STD,ADI,USD,5378.3170,52322.0710,37992.5420,2255.4510,525.3310,7118.2330,0.0000,1109.3440,1889.5160,2964.1500,1390.4220,1200.6100,2770.3120,14329.5290,1390.4220,2735.0690,1.9000,7318.2860,7318.2860,37992.5420,,A,175.7700
001659,20211231,2021,INDL,C,D,STD,ANDE,USD,3372.3280,4569.2190,1072.4250,11840.4190,33.8590,683.6450,0.0000,23.4950,168.9450,347.8790,99.6620,1814.5380,2463.9290,3261.5150,103.9860,-51.0500,,12612.0500,12612.0500,1072.4250,,A,38.7100
001661,20211231,2021,INDL,C,D,STD,NBR,USD,1517.8090,5525.3640,590.6560,1286.8950,8.2050,3286.9390,3.6530,3.6530,-219.7310,473.6510,-569.2920,126.4480,525.2280,4131.1430,-569.2720,428.7760,0.0000,2017.5480,2017.5480,590.6560,,A,81.0900
001678,20211231,2021,INDL,C,D,STD,APA,USD,2380.0000,13303.0000,-1595.0000,3337.0000,346.9310,7761.0000,0.0000,87.0000,2738.0000,4242.0000,973.0000,473.0000,2117.0000,13308.0000,973.0000,3496.0000,,8079.0000,8079.0000,-1595.0000,,A,26.8900
001686,20210228,2020,INDL,C,D,STD,APOG,USD,350.6740,1015.0990,492.7450,905.9030,25.7140,226.6900,0.0000,19.6010,74.6850,118.5850,15.4360,147.4870,217.5520,522.3540,15.4360,141.8630,3.3000,1230.7740,1230.7740,492.7450,,A,31.6800
001690,20210930,2021,INDL,C,D,STD,AAPL,USD,134836.0000,351002.0000,63090.0000,201697.0000,16426.7860,130522.0000,0.0000,14431.0000,108949.0000,120233.0000,94680.0000,6580.0000,125481.0000,287912.0000,94680.0000,104038.0000,,365817.0000,365817.0000,63090.0000,,A,177.5700
001704,20211031,2021,INDL,C,D,STD,AMAT,USD,16107.0000,25825.0000,12247.0000,11763.0000,892.0000,5753.0000,0.0000,851.0000,7269.0000,7663.0000,5888.0000,4309.0000,6344.0000,13578.0000,5888.0000,5442.0000,,23063.0000,23063.0000,12247.0000,,A,157.3600
001722,20211231,2021,INDL,C,D,STD,ADM,USD,31909.0000,56136.0000,22477.0000,78266.0000,560.0000,9623.0000,0.0000,834.0000,3038.0000,4034.0000,2709.0000,14481.0000,21948.0000,33369.0000,2709.0000,6595.0000,,85249.0000,85249.0000,22477.0000,,A,67.5900
