gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,costat,ggroup
003157,20210930,2021,INDL,C,D,STD,COHR,USD,A,4520
003158,20211231,2021,INDL,C,D,STD,COHU,USD,A,4530
003170,20211231,2021,INDL,C,D,STD,CL,USD,A,3030
003203,20210831,2021,INDL,C,D,STD,CCF,USD,A,1510
003221,20211231,2021,INDL,C,D,STD,AON,USD,A,4030
003226,20211231,2021,INDL,C,D,STD,CMCSA,USD,A,5020
003231,20211231,2021,INDL,C,D,STD,CMA,USD,A,4010
003238,20211231,2021,INDL,C,D,STD,CBSH,USD,A,4010
003243,20211231,2021,INDL,C,D,STD,C,USD,A,4010
003246,20210831,2021,INDL,C,D,STD,CMC,USD,A,1510
003278,20211231,2021,INDL,C,D,STD,CAR,USD,A,2030
003358,20210731,2021,INDL,C,D,STD,CMTL,USD,A,4520
003362,20210531,2020,INDL,C,D,STD,CAG,USD,A,3020
003382,20211231,2021,INDL,C,D,STD,SSTK,USD,A,2550
003413,20211231,2021,INDL,C,D,STD,ED,USD,A,5510
003429,20211231,2021,INDL,C,D,STD,CTO,USD,A,6010
003439,20211231,2021,INDL,C,D,STD,CMS,USD,A,5510
003469,20211231,2021,INDL,C,D,STD,CLR,USD,A,1010
003504,20211031,2021,INDL,C,D,STD,COO,USD,A,3510
003532,20211231,2021,INDL,C,D,STD,GLW,USD,A,4520
003562,20211231,2021,INDL,C,D,STD,CUZ,USD,A,6010
003570,20210731,2021,INDL,C,D,STD,CBRL,USD,A,2530
003580,20211231,2021,INDL,C,D,STD,CR,USD,A,2010
003592,20211231,2021,INDL,C,D,STD,OMF,USD,A,4020
003619,20211231,2021,INDL,C,D,STD,CCK,USD,A,1510
003643,20211231,2021,INDL,C,D,STD,CFR,USD,A,4010
003650,20211231,2021,INDL,C,D,STD,CMI,USD,A,2010
003662,20211231,2021,INDL,C,D,STD,CW,USD,A,2010
003708,20211231,2021,INDL,C,D,STD,WEN,USD,A,2530
003734,20211231,2021,INDL,C,D,STD,DAN,USD,A,2510
003735,20211231,2021,INDL,C,D,STD,DHR,USD,A,3520
003813,20210131,2020,INDL,C,D,STD,TGT,USD,A,2550
003835,20211031,2021,INDL,C,D,STD,DE,USD,A,2010
003851,20211231,2021,INDL,C,D,STD,DAL,USD,A,2030
003863,20211231,2021,INDL,C,D,STD,DLX,USD,A,2020
003897,20211231,2021,INDL,C,D,STD,DTE,USD,A,5510
003946,20211231,2021,INDL,C,D,STD,DBD,USD,A,4520
003964,20210131,2020,INDL,C,D,STD,DDS,USD,A,2550
003969,20211231,2021,INDL,C,D,STD,DIOD,USD,A,4530
003980,20210930,2021,INDL,C,D,STD,DIS,USD,A,5020
004016,20210131,2020,INDL,C,D,STD,DG,USD,A,2550
004029,20211231,2021,INDL,C,D,STD,D,USD,A,5510
004036,20210731,2021,INDL,C,D,STD,DCI,USD,A,2010
004058,20211231,2021,INDL,C,D,STD,DOV,USD,A,2010
004066,20211231,2021,INDL,C,D,STD,OMC,USD,A,5020
004091,20211231,2021,INDL,C,D,STD,DCO,USD,A,2010
004093,20211231,2021,INDL,C,D,STD,DUK,USD,A,5510
