,tic,ROA,Net Profit Margin,Inventory Turnover,Dividend Payout Ratio,Dividend Yield,B/P,E/P,EBIT/P,S/P,CF/P,1/Financial Leverage,1/ROE
0,AIR,0.04254075469247256,0.04254075469247256,2.3089678510998306,0.0021598272138228943,7.804680076407818e-05,0.7604880266451777,0.027940754673539986,0.05112065450047121,1.288864867817987,0.08210523440381023,0.6328505553029811,27.21787709497207
1,AAL,-0.08295846058946545,-0.08295846058946545,15.581615598885794,-0.0,0.0,-0.6309530679847083,-0.17132009053045283,-0.47398844916453425,2.5686838661470097,0.06051647954512734,-0.11043074006649917,3.682890115403914
2,PNW,0.036599639816386885,0.036599639816386885,6.393956973257401,0.6127295060770623,0.047557824104125686,0.7409129343717017,0.0776163439698045,0.1010234321863254,0.4771783129111412,0.10788586508088867,0.2684243244012172,9.54583656581329
3,ABT,0.11923506569498378,0.11923506569498378,3.224161334108978,0.45750247489746854,0.013029806603593532,0.1442018967610064,0.028480297525196253,0.036112904484642855,0.17349580199375314,0.04242440585955199,0.4761157508378105,5.063215952481968
4,AMD,0.2961591110395362,0.2961591110395362,4.198976982097187,0.0,0.0,0.04316377766250036,0.01820513071479607,0.021175986960474368,0.09461831694084713,0.020272063645413337,0.603671793220066,2.3709677419354835
5,APD,0.08246708762733067,0.08246708762733067,12.920907688918264,0.6371253943217665,0.019188788625523614,0.20099832999613346,0.031161369490822075,0.032881917689567386,0.15324606605390706,0.04961087165993917,0.504099154107345,6.450240579295889
6,ALK,-0.01720306788043868,-0.01720306788043868,86.16129032258064,0.0,0.0,0.579447001149107,0.07286915720843808,-0.036587024539801546,0.9415060981575597,0.15701931364998162,0.27245358755644755,7.951882845188285
7,ATRI,0.13485542385057472,0.13485542385057472,1.6296624522430976,0.40632279534109816,0.010579548301888368,0.19243104251046986,0.026037299465335423,0.02839014815699952,0.1299769701248081,0.030561039015461613,0.9140624999999999,7.390591438511571
8,MATX,0.30630093959004634,0.30630093959004634,40.46467085814215,0.04949320681475092,0.012434879430433757,0.45171934558399235,0.2512441652240581,0.30645611354480756,1.0634124668470943,0.2666048986381233,0.45149061763829845,1.797929695924089
9,ALX,0.0547406005179728,0.0547406005179728,2.0656534954407295,0.7062229097425373,0.06937214000715085,0.19000910293066825,0.09999608079755544,0.057318899936292265,0.15507403945124845,0.08911484022931171,0.18146217756911992,1.900165500639434
10,HON,0.10499457111834962,0.10499457111834962,4.2425068119891005,0.47275351858534825,0.018348926091982413,0.13004626282519902,0.03881288106937654,0.04740606134222479,0.2408611702883432,0.042286570894423586,0.28802543818830467,3.3505954529050883
11,SWKS,0.1970386580837417,0.1970386580837417,2.46135593220339,0.22732430087432426,0.01328152680002318,0.20655776750558658,0.05842545979000214,0.06600599064709112,0.19922680145037708,0.06909825452037896,0.6166086582001467,3.5354067943669496
12,HES,0.09787960029246892,0.09787960029246892,15.403587443946188,0.554561717352415,0.013519157879793697,0.2747441762667751,0.024378094370337666,0.08756925491169594,0.3258989252764461,0.12603343958904448,0.30709237143553497,11.270125223613595
13,ABM,0.09160993643208151,0.09160993643208151,86.82516550776533,0.40380047505938244,0.018550266147215562,0.5853154565509664,0.04593918851751619,0.1478201600436942,2.2655330926381736,0.11432056176607551,0.36274288805734645,12.741092636579573
14,PRI,0.0396734573478268,0.0396734573478268,83.75972079655102,0.19990786298368585,0.012369543305662227,0.34513341062155845,0.061876221980681594,0.10601111444823777,0.44908218873666833,0.10887690678771433,0.12916226488959437,5.577803549953529
15,ECOL,0.02043981437887934,0.02043981437887934,10.728184202856312,0.0,0.0,0.6250967445956691,0.005343605765447245,0.03694767471548328,0.9892238785586741,0.1164629715253997,0.3458096220334796,116.98032602585722
16,AEP,0.03846640819357422,0.03846640819357422,10.709664375252729,0.6059643904987742,0.03360919935962431,0.5000742130890257,0.05546398416573672,0.07517430722322814,0.3743222628154218,0.08559790715727358,0.25588608020878606,9.016197098187371
